Date;Y;mon;usrec;5 YR
1929-1-01;1929;1;0.2431;3.99
1929-2-01;1929;2;0.2431;4.1
1929-3-01;1929;3;0.2431;4.33
1929-4-01;1929;4;0.2431;4.07
1929-5-01;1929;5;0.2431;4.42
1929-6-01;1929;6;0.2431;4.33
1929-7-01;1929;7;0.2431;4.33
1929-8-01;1929;8;0.2431;4.25
1929-9-01;1929;9;15.1776;4.39
1929-10-01;1929;10;15.1776;4.28
1929-11-01;1929;11;15.1776;3.8
1929-12-01;1929;12;15.1776;3.72
1930-1-01;1930;1;15.1776;3.81
1930-2-01;1930;2;15.1776;3.71
1930-3-01;1930;3;15.1776;3.5
1930-4-01;1930;4;15.1776;3.56
1930-5-01;1930;5;15.1776;3.46
1930-6-01;1930;6;15.1776;3.38
1930-7-01;1930;7;15.1776;3.22
1930-8-01;1930;8;15.1776;3.3
1930-9-01;1930;9;15.1776;3.06
1930-10-01;1930;10;15.1776;3.12
1930-11-01;1930;11;15.1776;2.98
1930-12-01;1930;12;15.1776;3.05
1931-1-01;1931;1;15.1776;2.79
1931-2-01;1931;2;15.1776;2.64
1931-3-01;1931;3;15.1776;3.11
1931-4-01;1931;4;15.1776;2.98
1931-5-01;1931;5;15.1776;2.6
1931-6-01;1931;6;15.1776;2.47
1931-7-01;1931;7;15.1776;2.32
1931-8-01;1931;8;15.1776;2.83
1931-9-01;1931;9;15.1776;2.79
1931-10-01;1931;10;15.1776;3.4
1931-11-01;1931;11;15.1776;3.28
1931-12-01;1931;12;15.1776;4.41
1932-1-01;1932;1;15.1776;4.82
1932-2-01;1932;2;15.1776;4.36
1932-3-01;1932;3;15.1776;4.29
1932-4-01;1932;4;15.1776;3.6
1932-5-01;1932;5;15.1776;3.71
1932-6-01;1932;6;15.1776;3.55
1932-7-01;1932;7;15.1776;3.29
1932-8-01;1932;8;15.1776;3.28
1932-9-01;1932;9;15.1776;3.09
1932-10-01;1932;10;15.1776;2.97
1932-11-01;1932;11;15.1776;2.97
1932-12-01;1932;12;15.1776;2.77
1933-1-01;1933;1;15.1776;2.67
1933-2-01;1933;2;15.1776;3.47
1933-3-01;1933;3;15.1776;3.33
1933-4-01;1933;4;0.2431;3.28
1933-5-01;1933;5;0.2431;2.95
1933-6-01;1933;6;0.2431;2.86
1933-7-01;1933;7;0.2431;2.94
1933-8-01;1933;8;0.2431;2.78
1933-9-01;1933;9;0.2431;2.85
1933-10-01;1933;10;0.2431;3
1933-11-01;1933;11;0.2431;3.53
1933-12-01;1933;12;0.2431;3.48
1934-1-01;1934;1;0.2431;3.26
1934-2-01;1934;2;0.2431;3.21
1934-3-01;1934;3;0.2431;2.82
