Date;Y;mon;usrec;1 YR
1929-1-01;1929;1;0.0678;4.55
1929-2-01;1929;2;0.0678;4.62
1929-3-01;1929;3;0.0678;4.89
1929-4-01;1929;4;0.0678;4.86
1929-5-01;1929;5;0.0678;5.04
1929-6-01;1929;6;0.0678;4.76
1929-7-01;1929;7;0.0678;4.83
1929-8-01;1929;8;0.0678;4.61
1929-9-01;1929;9;16.11;4.8
1929-10-01;1929;10;16.11;4.37
1929-11-01;1929;11;16.11;3.59
1929-12-01;1929;12;16.11;3.43
1930-1-01;1930;1;16.11;3.9
1930-2-01;1930;2;16.11;3.52
1930-3-01;1930;3;16.11;3.22
1930-4-01;1930;4;16.11;3.35
1930-5-01;1930;5;16.11;2.94
1930-6-01;1930;6;16.11;2.43
1930-7-01;1930;7;16.11;2.53
1930-8-01;1930;8;16.11;2.49
1930-9-01;1930;9;16.11;2.36
1930-10-01;1930;10;16.11;2.28
1930-11-01;1930;11;16.11;1.97
1930-12-01;1930;12;16.11;1.93
1931-1-01;1931;1;16.11;1.59
1931-2-01;1931;2;16.11;1.72
1931-3-01;1931;3;16.11;2.01
1931-4-01;1931;4;16.11;1.87
1931-5-01;1931;5;16.11;1.17
1931-6-01;1931;6;16.11;1.05
1931-7-01;1931;7;16.11;0.78
1931-8-01;1931;8;16.11;1.31
1931-9-01;1931;9;16.11;1.67
1931-10-01;1931;10;16.11;2.68
1931-11-01;1931;11;16.11;2.58
1931-12-01;1931;12;16.11;3.8
1932-1-01;1932;1;16.11;3.91
1932-2-01;1932;2;16.11;3.65
1932-3-01;1932;3;16.11;3.35
1932-4-01;1932;4;16.11;1.76
1932-5-01;1932;5;16.11;1.34
1932-6-01;1932;6;16.11;1.3
1932-7-01;1932;7;16.11;1.42
1932-8-01;1932;8;16.11;1.39
1932-9-01;1932;9;16.11;1.03
1932-10-01;1932;10;16.11;0.89
1932-11-01;1932;11;16.11;0.86
1932-12-01;1932;12;16.11;0.8
1933-1-01;1933;1;16.11;0.73
1933-2-01;1933;2;16.11;1.74
1933-3-01;1933;3;16.11;1.91
1933-4-01;1933;4;0.0678;1.28
