Date;Y;mon;usrec;10 YR
1801-1-01;1801;1;;6.736199
1801-2-01;1801;2;;6.707327
1801-3-01;1801;3;;6.646391
1801-4-01;1801;4;;6.731475
1801-5-01;1801;5;;6.553066
1801-6-01;1801;6;;6.366406
1801-7-01;1801;7;;6.303815
1801-8-01;1801;8;;6.184625
1801-9-01;1801;9;;6.132403
1801-10-01;1801;10;;6.126315
1801-11-01;1801;11;;6.137309
1801-12-01;1801;12;;5.985725
1802-1-01;1802;1;;5.979446
1802-2-01;1802;2;;6.078845
1802-3-01;1802;3;;6.064412
1802-4-01;1802;4;;6.138339
1802-5-01;1802;5;;6.146903
1802-6-01;1802;6;;5.905893
1802-7-01;1802;7;;5.834024
1802-8-01;1802;8;;5.71521
1802-9-01;1802;9;;5.675171
1802-10-01;1802;10;;5.970162
1802-11-01;1802;11;;6.069367
1802-12-01;1802;12;;5.981933
1803-1-01;1803;1;;5.9539
1803-2-01;1803;2;;6.121585
1803-3-01;1803;3;;6.179407
1803-4-01;1803;4;;6.117298
1803-5-01;1803;5;;6.224105
1803-6-01;1803;6;;6.237289
1803-7-01;1803;7;;6.232564
1803-8-01;1803;8;;6.266081
1803-9-01;1803;9;;6.212712
1803-10-01;1803;10;;6.269424
1803-11-01;1803;11;;6.278469
1803-12-01;1803;12;;6.295895
1804-1-01;1804;1;;6.346498
1804-2-01;1804;2;;6.294184
1804-3-01;1804;3;;6.3073
1804-4-01;1804;4;;6.257
1804-5-01;1804;5;;6.305874
1804-6-01;1804;6;;6.375827
1804-7-01;1804;7;;6.433175
1804-8-01;1804;8;;6.344631
1804-9-01;1804;9;;6.29556
1804-10-01;1804;10;;6.429392
1804-11-01;1804;11;;6.457549
1804-12-01;1804;12;;6.403219
1805-1-01;1805;1;;6.307195
1805-2-01;1805;2;;6.288609
1805-3-01;1805;3;;6.303109
1805-4-01;1805;4;;6.390665
1805-5-01;1805;5;;6.498633
1805-6-01;1805;6;;6.499106
1805-7-01;1805;7;;6.550676
1805-8-01;1805;8;;6.529377
1805-9-01;1805;9;;6.412435
1805-10-01;1805;10;;6.436106
1805-11-01;1805;11;;6.448612
1805-12-01;1805;12;;6.414262
1806-1-01;1806;1;;6.384488
1806-2-01;1806;2;;6.378747
1806-3-01;1806;3;;6.344588
1806-4-01;1806;4;;6.24261
1806-5-01;1806;5;;6.340131
1806-6-01;1806;6;;6.22181
1806-7-01;1806;7;;6.15643
1806-8-01;1806;8;;6.20647
1806-9-01;1806;9;;6.111893
1806-10-01;1806;10;;6.0154
1806-11-01;1806;11;;6.015203
1806-12-01;1806;12;;6.019961
1807-1-01;1807;1;;6.098324
1807-2-01;1807;2;;6.219109
1807-3-01;1807;3;;6.305719
1807-4-01;1807;4;;6.282868
1807-5-01;1807;5;;6.258432
1807-6-01;1807;6;;6.229027
1807-7-01;1807;7;;6.296022
1807-8-01;1807;8;;6.363523
1807-9-01;1807;9;;6.136253
1807-10-01;1807;10;;6.344836
1807-11-01;1807;11;;6.260346
1807-12-01;1807;12;;6.294937
1808-1-01;1808;1;;6.353579
1808-2-01;1808;2;;6.221864
1808-3-01;1808;3;;6.20264
1808-4-01;1808;4;;6.162385
1808-5-01;1808;5;;5.79823
1808-6-01;1808;6;;5.713438
1808-7-01;1808;7;;6.087661
1808-8-01;1808;8;;6.017263
1808-9-01;1808;9;;6.002716
1808-10-01;1808;10;;6.231157
1808-11-01;1808;11;;6.000434
1808-12-01;1808;12;;6.161515
1809-1-01;1809;1;;5.285095
1809-2-01;1809;2;;5.408532
1809-3-01;1809;3;;5.362005
1809-4-01;1809;4;;5.361156
1809-5-01;1809;5;;5.358051
1809-6-01;1809;6;;5.328957
1809-7-01;1809;7;;5.372791
1809-8-01;1809;8;;5.189265
1809-9-01;1809;9;;5.227184
1809-10-01;1809;10;;5.282506
1809-11-01;1809;11;;5.164431
1809-12-01;1809;12;;5.090815
1810-1-01;1810;1;;5.190873
1810-2-01;1810;2;;5.224527
1810-3-01;1810;3;;5.251846
1810-4-01;1810;4;;5.322306
1810-5-01;1810;5;;5.346611
1810-6-01;1810;6;;5.307408
1810-7-01;1810;7;;5.29185
1810-8-01;1810;8;;5.159502
1810-9-01;1810;9;;5.342824
1810-10-01;1810;10;;5.314156
1810-11-01;1810;11;;5.273509
1810-12-01;1810;12;;5.277959
1811-1-01;1811;1;;5.219307
1811-2-01;1811;2;;5.304375
1811-3-01;1811;3;;5.326662
1811-4-01;1811;4;;5.36182
1811-5-01;1811;5;;5.307381
1811-6-01;1811;6;;5.367618
1811-7-01;1811;7;;5.395488
1811-8-01;1811;8;;5.46643
1811-9-01;1811;9;;5.524405
1811-10-01;1811;10;;5.653994
1811-11-01;1811;11;;5.612578
1811-12-01;1811;12;;5.56079
1812-1-01;1812;1;;5.519441
1812-2-01;1812;2;;5.407338
1812-3-01;1812;3;;5.438788
1812-4-01;1812;4;;5.570104
1812-5-01;1812;5;;5.605218
1812-6-01;1812;6;;5.533579
1812-7-01;1812;7;;5.671023
1812-8-01;1812;8;;5.632214
1812-9-01;1812;9;;5.639648
1812-10-01;1812;10;;5.635527
1812-11-01;1812;11;;5.638848
1812-12-01;1812;12;;5.559111
1813-1-01;1813;1;;5.571954
1813-2-01;1813;2;;5.680089
1813-3-01;1813;3;;5.921941
1813-4-01;1813;4;;6.101363
1813-5-01;1813;5;;6.0986
1813-6-01;1813;6;;6.03187
1813-7-01;1813;7;;6.184672
1813-8-01;1813;8;;6.296408
1813-9-01;1813;9;;6.21232
1813-10-01;1813;10;;6.249738
1813-11-01;1813;11;;6.196031
1813-12-01;1813;12;;6.177746
1814-1-01;1814;1;;6.197804
1814-2-01;1814;2;;6.240871
1814-3-01;1814;3;;6.273786
1814-4-01;1814;4;;6.284042
1814-5-01;1814;5;;6.316053
1814-6-01;1814;6;;6.348457
1814-7-01;1814;7;;6.531006
1814-8-01;1814;8;;6.504761
1814-9-01;1814;9;;6.695037
1814-10-01;1814;10;;6.80368
1814-11-01;1814;11;;7.031682
1814-12-01;1814;12;;7.109347
1815-1-01;1815;1;;7.098238
1815-2-01;1815;2;;6.487991
1815-3-01;1815;3;;6.285029
1815-4-01;1815;4;;6.375012
1815-5-01;1815;5;;6.255378
1815-6-01;1815;6;;6.142332
1815-7-01;1815;7;;6.198973
1815-8-01;1815;8;;6.127185
1815-9-01;1815;9;;6.024697
1815-10-01;1815;10;;6.076871
1815-11-01;1815;11;;6.155553
1815-12-01;1815;12;;6.258406
1816-1-01;1816;1;;6.273994
1816-2-01;1816;2;;6.175794
1816-3-01;1816;3;;6.098175
1816-4-01;1816;4;;6.203727
1816-5-01;1816;5;;6.14581
1816-6-01;1816;6;;6.107482
1816-7-01;1816;7;;6.160836
1816-8-01;1816;8;;6.213155
1816-9-01;1816;9;;6.121059
1816-10-01;1816;10;;6.095773
1816-11-01;1816;11;;5.933517
1816-12-01;1816;12;;5.860639
1817-1-01;1817;1;;5.875161
1817-2-01;1817;2;;5.895414
1817-3-01;1817;3;;5.859685
1817-4-01;1817;4;;5.83313
1817-5-01;1817;5;;5.697733
1817-6-01;1817;6;;5.637666
1817-7-01;1817;7;;5.655651
1817-8-01;1817;8;;5.673041
1817-9-01;1817;9;;5.652767
1817-10-01;1817;10;;5.654716
1817-11-01;1817;11;;5.565628
1817-12-01;1817;12;;5.62502
1818-1-01;1818;1;;5.643669
