Date;Y;mon;usrec;3 YR
1929-1-01;1929;1;0.1365;4.22
1929-2-01;1929;2;0.1365;4.32
1929-3-01;1929;3;0.1365;4.58
1929-4-01;1929;4;0.1365;4.38
1929-5-01;1929;5;0.1365;4.7
1929-6-01;1929;6;0.1365;4.53
1929-7-01;1929;7;0.1365;4.56
1929-8-01;1929;8;0.1365;4.42
1929-9-01;1929;9;15.5746;4.58
1929-10-01;1929;10;15.5746;4.44
1929-11-01;1929;11;15.5746;3.87
1929-12-01;1929;12;15.5746;3.75
1930-1-01;1930;1;15.5746;3.87
1930-2-01;1930;2;15.5746;3.75
1930-3-01;1930;3;15.5746;3.51
1930-4-01;1930;4;15.5746;3.57
1930-5-01;1930;5;15.5746;3.45
1930-6-01;1930;6;15.5746;3.19
1930-7-01;1930;7;15.5746;3.16
1930-8-01;1930;8;15.5746;3.07
1930-9-01;1930;9;15.5746;2.98
1930-10-01;1930;10;15.5746;2.93
1930-11-01;1930;11;15.5746;2.67
1930-12-01;1930;12;15.5746;2.79
1931-1-01;1931;1;15.5746;2.39
1931-2-01;1931;2;15.5746;2.24
1931-3-01;1931;3;15.5746;2.85
1931-4-01;1931;4;15.5746;2.71
1931-5-01;1931;5;15.5746;2.09
1931-6-01;1931;6;15.5746;1.92
1931-7-01;1931;7;15.5746;1.7
1931-8-01;1931;8;15.5746;2.45
1931-9-01;1931;9;15.5746;2.32
1931-10-01;1931;10;15.5746;3.09
1931-11-01;1931;11;15.5746;2.98
1931-12-01;1931;12;15.5746;4.41
1932-1-01;1932;1;15.5746;4.83
1932-2-01;1932;2;15.5746;4.38
1932-3-01;1932;3;15.5746;4.28
1932-4-01;1932;4;15.5746;3.2
1932-5-01;1932;5;15.5746;3.01
1932-6-01;1932;6;15.5746;2.9
1932-7-01;1932;7;15.5746;2.85
1932-8-01;1932;8;15.5746;2.85
1932-9-01;1932;9;15.5746;2.47
1932-10-01;1932;10;15.5746;2.27
1932-11-01;1932;11;15.5746;2.26
1932-12-01;1932;12;15.5746;2.1
1933-1-01;1933;1;15.5746;1.97
1933-2-01;1933;2;15.5746;3.09
1933-3-01;1933;3;15.5746;3.01
1933-4-01;1933;4;0.1365;2.7
1933-5-01;1933;5;0.1365;2.38
1933-6-01;1933;6;0.1365;2.21
1933-7-01;1933;7;0.1365;2.38
1933-8-01;1933;8;0.1365;2.14
1933-9-01;1933;9;0.1365;2.17
1933-10-01;1933;10;0.1365;2.42
1933-11-01;1933;11;0.1365;3.12
1933-12-01;1933;12;0.1365;3.37
1934-1-01;1934;1;0.1365;3.13
1934-2-01;1934;2;0.1365;2.79
1934-3-01;1934;3;0.1365;2.18
1934-4-01;1934;4;0.1365;1.95
1934-5-01;1934;5;0.1365;1.69
1934-6-01;1934;6;0.1365;1.54
1934-7-01;1934;7;0.1365;1.55
1934-8-01;1934;8;0.1365;1.83
1934-9-01;1934;9;0.1365;2.37
1934-10-01;1934;10;0.1365;2.03
1934-11-01;1934;11;0.1365;2.02
1934-12-01;1934;12;0.1365;1.71
1935-1-01;1935;1;0.1365;1.53
1935-2-01;1935;2;0.1365;1.32
1935-3-01;1935;3;0.1365;1.22
1935-4-01;1935;4;0.1365;1.19
1935-5-01;1935;5;0.1365;1.23
1935-6-01;1935;6;0.1365;1.13
1935-7-01;1935;7;0.1365;1.11
1935-8-01;1935;8;0.1365;1.32
1935-9-01;1935;9;0.1365;1.47
1935-10-01;1935;10;0.1365;1.34
1935-11-01;1935;11;0.1365;1.33
1935-12-01;1935;12;0.1365;1.22
1936-1-01;1936;1;0.1365;1.23
1936-2-01;1936;2;0.1365;1.15
1936-3-01;1936;3;0.1365;1.13
1936-4-01;1936;4;0.1365;1.12
1936-5-01;1936;5;0.1365;1.13
1936-6-01;1936;6;0.1365;1.19
1936-7-01;1936;7;0.1365;1.2
1936-8-01;1936;8;0.1365;1.14
1936-9-01;1936;9;0.1365;1.2
1936-10-01;1936;10;0.1365;1.26
1936-11-01;1936;11;0.1365;1.08
1936-12-01;1936;12;0.1365;1.33
1937-1-01;1937;1;0.1365;1.45
1937-2-01;1937;2;0.1365;1.51
1937-3-01;1937;3;0.1365;1.93
1937-4-01;1937;4;0.1365;1.84
1937-5-01;1937;5;0.1365;1.81
1937-6-01;1937;6;15.5746;1.92
1937-7-01;1937;7;15.5746;1.79
1937-8-01;1937;8;15.5746;2.01
1937-9-01;1937;9;15.5746;1.85
1937-10-01;1937;10;15.5746;1.8
1937-11-01;1937;11;15.5746;1.74
1937-12-01;1937;12;15.5746;1.58
1938-1-01;1938;1;15.5746;1.54
1938-2-01;1938;2;15.5746;1.43
1938-3-01;1938;3;15.5746;1.53
1938-4-01;1938;4;15.5746;1.24
1938-5-01;1938;5;15.5746;0.99
1938-6-01;1938;6;15.5746;0.87
1938-7-01;1938;7;0.1365;0.95
1938-8-01;1938;8;0.1365;1.14
1938-9-01;1938;9;0.1365;1.02
1938-10-01;1938;10;0.1365;0.91
1938-11-01;1938;11;0.1365;0.92
1938-12-01;1938;12;0.1365;0.81
1939-1-01;1939;1;0.1365;0.78
1939-2-01;1939;2;0.1365;0.75
1939-3-01;1939;3;0.1365;0.69
1939-4-01;1939;4;0.1365;0.67
1939-5-01;1939;5;0.1365;0.61
1939-6-01;1939;6;0.1365;0.84
1939-7-01;1939;7;0.1365;0.79
1939-8-01;1939;8;0.1365;1.12
1939-9-01;1939;9;0.1365;1.23
1939-10-01;1939;10;0.1365;0.84
1939-11-01;1939;11;0.1365;0.72
1939-12-01;1939;12;0.1365;0.63
1940-1-01;1940;1;0.1365;0.65
1940-2-01;1940;2;0.1365;0.63
1940-3-01;1940;3;0.1365;0.57
1940-4-01;1940;4;0.1365;0.59
1940-5-01;1940;5;0.1365;1.17
1940-6-01;1940;6;0.1365;0.85
1940-7-01;1940;7;0.1365;0.85
1940-8-01;1940;8;0.1365;0.63
1940-9-01;1940;9;0.1365;0.58
1940-10-01;1940;10;0.1365;0.55
1940-11-01;1940;11;0.1365;0.44
1940-12-01;1940;12;0.1365;0.45
1941-1-01;1941;1;0.1365;0.69
1941-2-01;1941;2;0.1365;0.62
1941-3-01;1941;3;0.1365;0.78
1941-4-01;1941;4;0.1365;0.74
1941-5-01;1941;5;0.1365;0.75
1941-6-01;1941;6;0.1365;0.69
1941-7-01;1941;7;0.1365;0.65
1941-8-01;1941;8;0.1365;0.69
1941-9-01;1941;9;0.1365;0.71
1941-10-01;1941;10;0.1365;0.77
1941-11-01;1941;11;0.1365;0.86
1941-12-01;1941;12;0.1365;1.03
1942-1-01;1942;1;0.1365;1
1942-2-01;1942;2;0.1365;1.04
1942-3-01;1942;3;0.1365;0.99
1942-4-01;1942;4;0.1365;1.07
1942-5-01;1942;5;0.1365;1.11
1942-6-01;1942;6;0.1365;1.14
1942-7-01;1942;7;0.1365;1.19
1942-8-01;1942;8;0.1365;1.2
1942-9-01;1942;9;0.1365;1.24
1942-10-01;1942;10;0.1365;1.2
1942-11-01;1942;11;0.1365;1.23
1942-12-01;1942;12;0.1365;1.24
1943-1-01;1943;1;0.1365;1.15
1943-2-01;1943;2;0.1365;1.16
1943-3-01;1943;3;0.1365;1.23
