Date;Y;mon;usrec;20 YR
1929-1-01;1929;1;1.0365;3.51
1929-2-01;1929;2;1.0365;3.7
1929-3-01;1929;3;1.0365;3.79
1929-4-01;1929;4;1.0365;3.58
1929-5-01;1929;5;1.0365;3.71
1929-6-01;1929;6;1.0365;3.54
1929-7-01;1929;7;1.0365;3.35
1929-8-01;1929;8;1.0365;3.6
1929-9-01;1929;9;14.8443;3.5
1929-10-01;1929;10;14.8443;2.96
1929-11-01;1929;11;14.8443;3.1
1929-12-01;1929;12;14.8443;3.26
1930-1-01;1930;1;14.8443;3.31
1930-2-01;1930;2;14.8443;3.23
1930-3-01;1930;3;14.8443;3.24
1930-4-01;1930;4;14.8443;3.31
1930-5-01;1930;5;14.8443;3.17
1930-6-01;1930;6;14.8443;3.11
1930-7-01;1930;7;14.8443;3.26
1930-8-01;1930;8;14.8443;3.12
1930-9-01;1930;9;14.8443;3.28
1930-10-01;1930;10;14.8443;3.19
1930-11-01;1930;11;14.8443;3.3
1930-12-01;1930;12;14.8443;3.28
1931-1-01;1931;1;14.8443;3.5
1931-2-01;1931;2;14.8443;3.19
1931-3-01;1931;3;14.8443;3.31
1931-4-01;1931;4;14.8443;3.3
1931-5-01;1931;5;14.8443;3.17
1931-6-01;1931;6;14.8443;3.06
1931-7-01;1931;7;14.8443;2.98
1931-8-01;1931;8;14.8443;3.29
1931-9-01;1931;9;14.8443;3.16
1931-10-01;1931;10;14.8443;3.56
1931-11-01;1931;11;14.8443;3.57
1931-12-01;1931;12;14.8443;4.01
1932-1-01;1932;1;14.8443;4.14
1932-2-01;1932;2;14.8443;3.73
1932-3-01;1932;3;14.8443;3.77
1932-4-01;1932;4;14.8443;3.46
1932-5-01;1932;5;14.8443;3.78
1932-6-01;1932;6;14.8443;3.49
1932-7-01;1932;7;14.8443;3.46
1932-8-01;1932;8;14.8443;3.42
1932-9-01;1932;9;14.8443;3.28
1932-10-01;1932;10;14.8443;3.29
1932-11-01;1932;11;14.8443;3.22
1932-12-01;1932;12;14.8443;3.15
1933-1-01;1933;1;14.8443;2.96
1933-2-01;1933;2;14.8443;3.42
1933-3-01;1933;3;14.8443;3.34
